,city,county,zipcode
716,Somerville,Somerset,08876
717,South Amboy,Middlesex,08879
718,South Bound Brook,Somerset,08880
719,South River,Middlesex,08882
720,Spotswood,Middlesex,08884
721,Stanton,Hunterdon,08885
722,Stewartsville,Warren,08886
723,Three Bridges,Hunterdon,08887
724,Whitehouse,Hunterdon,08888
725,Whitehouse Station,Hunterdon,08889
726,Zarephath,Somerset,08890
727,Raritan,Somerset,08896
728,Edison,Middlesex,08899
729,New Brunswick,Middlesex,08901
730,North Brunswick,Middlesex,08902
731,New Brunswick,Middlesex,08903
732,Highland Park,Middlesex,08904
733,New Brunswick,Middlesex,08905
734,New Brunswick,Middlesex,08906
735,New Brunswick,Middlesex,08922
736,New Brunswick,Middlesex,08933
737,New Brunswick,Middlesex,08988
738,New Brunswick,Middlesex,08989
