zipcode,med_list_price,avg_sale,med_list_per_sqft,avg_num_offers,med_sale_price,avg_down_payment,med_sale_per_sqft,num_sold,ele_school_mean,mid_school_mean,high_school_mean
07849,$380K,99.5%,$182,1,$327K,0.0%,$233,15,6.0,nan,nan
07850,$329K,95.5%,$184,1,$276K,3.5%,$178,10,5.5,5.666666666666667,6.0
07851,$450K,67.8%,$276,—,$135K,—,$182,1,6.0,nan,nan
07852,$304K,99.2%,$180,—,$400K,—,$191,12,5.0,nan,nan
07853,$511K,96.8%,$166,1,$495K,—,$167,31,7.4,7.666666666666667,7.5
07855,7.0,nan,nan
07856,$335K,97.3%,$207,—,$300K,—,$212,12,6.0,6.0,nan
07857,$253K,98.2%,$142,—,$235K,—,$224,5,6.0,6.0,nan
07860,$295K,97.0%,$144,—,$245K,1.9%,$141,45,7.0,5.4,5.0
07863,$200K,95.5%,$123,—,$175K,—,$125,11,5.666666666666667,5.5,6.0
07865,$325K,84.1%,$162,—,$119K,—,$56,2,6.0,nan,nan
07866,$354K,98.3%,$211,1,$365K,—,$224,40,7.0,5.6,6.0
07869,$522K,97.9%,$200,1,$525K,9.5%,$211,41,7.4,6.0,5.5
07870,nan,nan,nan
07871,$420K,95.7%,$166,—,$330K,—,$156,40,6.6,5.75,6.666666666666667
07874,$262K,98.4%,$156,—,$230K,—,$152,13,5.6,5.4,4.5
07875,$475K,97.9%,$227,—,$235K,—,—,1,7.0,nan,nan
07876,$388K,98.9%,$197,1,$360K,—,$195,15,5.25,6.0,4.0
07877,nan,nan,nan
07878,$425K,105.0%,$220,—,$420K,—,$188,1,8.0,nan,nan
07879,$1.82M,—,$276,—,—,—,—,—,nan,nan,nan
07880,$200K,96.5%,$38,—,$193K,—,$35,1,nan,nan,nan
07881,6.333333333333333,5.333333333333333,5.0
07882,$249K,96.5%,$128,—,$178K,—,$97,18,5.0,4.0,5.5
07885,$305K,97.1%,$215,—,$324K,—,$222,16,6.6,5.25,5.0
07890,nan,nan,nan
07901,$995K,97.4%,$413,1,$855K,20.0%,$387,29,8.6,6.0,8.0
07902,$1.35M,98.2%,—,—,$1.32M,—,—,1,nan,nan,nan
07920,$699K,96.6%,$280,3,$590K,0.0033%,$256,54,8.0,7.5,8.5
07921,$480K,98.8%,$294,3,$310K,—,$298,19,7.0,8.0,nan
07922,$617K,97.0%,$270,1,$577K,19.8%,$251,17,7.4,7.0,8.0
07924,$985K,95.5%,$285,1,$636K,0.83%,$269,12,6.5,6.0,8.0
07926,$526K,100.0%,$234,—,$300K,—,—,1,nan,nan,nan
07927,$500K,100.9%,$262,—,$555K,—,$250,1,8.0,nan,nan
07928,$947K,96.9%,$393,1,$955K,34.7%,$425,31,8.0,8.0,8.333333333333334
07930,$725K,97.7%,$218,—,$625K,—,$209,21,7.5,8.0,9.0
07931,$1.14M,98.8%,$276,—,$660K,—,$282,1,8.0,8.0,nan
07932,$770K,99.1%,$303,1,$610K,20.1%,$285,9,7.25,7.666666666666667,7.0
07933,$494K,96.9%,$282,1,$450K,—,$232,7,7.0,nan,nan
07934,$825K,97.5%,$266,—,$680K,—,$260,2,nan,nan,nan
07935,$1.39M,63.9%,$339,—,$383K,—,$108,1,nan,nan,nan
07936,$629K,96.3%,$235,1,$508K,20.0%,$276,12,8.0,5.0,5.0
07938,nan,nan,nan
07939,nan,nan,nan
07940,$787K,98.0%,$375,1,$596K,30.0%,$365,17,7.333333333333333,8.0,7.0
07945,$739K,96.1%,$243,—,$751K,—,$246,24,8.333333333333334,8.0,8.0
07946,$639K,97.5%,$246,—,$662K,—,$197,4,7.5,9.0,nan
07950,$519K,97.8%,$247,1,$455K,20.0%,$246,34,7.8,6.0,7.0
